"HostID","2021-02-01","2021-02-02","2021-02-03","2021-02-04","2021-02-05","2021-02-06","2021-02-07","2021-02-08","2021-02-09","2021-02-10","2021-02-11","2021-02-12","2021-02-13","2021-02-14","2021-02-15","2021-02-16","2021-02-17","Total"
"478",1,0,0,43,34,51,0,27,52,43,51,35,17,23,111,0,0,488
"446",1,0,0,56,9,0,63,61,58,43,3,6,21,0,0,85,81,487
"438",0,0,0,0,0,60,70,64,0,0,0,79,27,27,120,0,34,481
"469",1,0,0,60,59,31,70,11,0,48,86,7,50,1,55,0,0,479
"442",1,0,0,0,0,7,79,17,28,52,34,88,129,43,0,0,0,478
"454",0,33,71,46,19,4,24,38,27,0,32,45,55,38,0,10,26,468
"405",12,18,32,10,0,84,16,0,93,9,38,51,8,17,0,68,3,459
"500",1,0,0,47,45,0,0,72,0,34,59,4,63,0,17,45,70,457
"481",1,0,0,41,14,22,31,27,35,39,0,48,58,41,42,25,27,451
"494",0,0,0,55,1,23,0,0,0,18,53,72,48,61,48,40,31,450
"23",68,0,15,34,2,54,100,0,58,0,40,0,0,0,21,1,55,448
"28",0,18,21,44,32,26,35,56,24,19,25,38,32,70,0,0,0,440
"39",0,0,0,0,0,0,9,23,42,0,12,49,53,61,96,21,70,436
"420",99,71,1,47,0,0,0,1,0,0,88,0,35,32,21,0,35,430
"462",66,23,52,81,19,60,0,19,0,22,0,49,0,26,4,0,0,421
"66",27,46,19,57,8,0,0,2,0,16,46,82,70,0,0,8,40,421
"439",1,0,0,0,0,0,0,14,0,36,69,53,39,41,35,46,80,414
"485",0,0,0,23,8,56,76,42,0,10,54,4,0,34,42,62,0,411
"59",5,24,42,19,13,28,0,35,8,7,0,29,47,64,25,0,57,403
"202",27,37,50,23,64,75,47,43,36,0,0,0,0,0,0,0,0,402
"55",19,46,0,0,48,68,81,67,37,0,0,34,0,0,0,0,0,400
"459",25,0,39,0,20,0,19,0,56,0,29,20,68,0,38,43,41,398
"479",0,0,0,48,9,8,60,0,6,72,1,46,90,0,29,29,0,398
"444",1,0,0,0,41,0,73,0,23,34,20,48,21,0,75,27,33,396
"430",0,14,0,29,1,31,0,37,0,0,81,117,0,36,0,48,2,396
"429",0,0,0,0,0,38,29,0,27,77,57,63,9,16,0,27,41,384
"24",49,0,11,25,50,15,21,52,51,54,38,17,0,0,0,0,0,383
"470",1,0,0,34,51,6,46,4,0,0,0,54,3,34,103,42,0,378
"216",50,19,0,46,52,0,23,0,49,0,18,60,57,0,0,0,0,374
"86",17,35,24,30,45,0,40,0,25,70,36,52,0,0,0,0,0,374
"206",0,0,79,0,0,0,24,33,0,22,12,42,17,70,3,28,32,362
"432",1,34,0,21,33,0,12,0,44,3,37,1,37,4,14,60,42,343
"486",1,0,0,0,44,1,60,23,0,0,0,34,1,25,43,54,55,341
"426",28,0,27,0,43,0,18,0,0,67,0,57,1,69,19,0,0,329
"10",20,9,0,23,0,66,0,43,0,13,33,50,22,0,33,16,0,328
"2",3,36,51,0,34,0,46,0,29,0,21,0,34,44,0,28,0,326
"452",30,0,0,0,0,0,0,0,46,0,46,0,37,54,48,0,60,321
"474",1,0,0,0,0,36,45,72,22,41,63,40,1,0,0,0,0,321
"214",13,0,52,1,0,0,35,53,16,0,27,29,0,43,14,0,36,319
"466",0,0,0,89,0,39,0,38,0,25,54,65,1,0,0,0,0,311
"88",27,44,0,0,19,2,16,53,0,4,16,0,51,0,28,13,31,304
"403",21,19,41,1,71,53,52,0,37,0,0,0,0,0,0,0,0,295
"477",1,0,0,34,0,0,36,32,11,32,0,58,53,21,0,0,0,278
"73",71,32,104,4,2,0,0,0,0,1,0,0,0,0,0,0,1,215
"12",37,17,46,20,1,15,0,22,10,24,0,0,0,0,0,0,0,192
"463",1,0,0,0,21,0,26,23,1,29,0,17,0,13,3,20,32,186
"496",1,0,0,82,4,51,0,43,0,0,0,0,0,0,0,0,0,181
"76",0,0,0,0,41,51,21,6,40,0,0,0,0,0,0,0,0,159
"457",1,0,0,0,0,0,0,0,0,1,10,69,5,28,24,0,0,138
"42",34,46,31,0,15,2,0,0,0,0,0,0,0,0,0,0,0,128
"48",0,37,42,22,5,0,0,0,0,0,0,0,0,0,0,0,0,106
"34",17,5,0,27,44,0,0,0,0,0,0,0,0,0,0,0,0,93
"81",5,59,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92
"56",4,41,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"97",27,0,39,9,0,0,0,0,0,0,0,0,0,0,0,0,0,75
"488",1,0,0,0,45,0,22,0,0,0,0,0,0,0,0,0,0,68
"30",35,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43
"465",1,0,0,31,0,3,0,0,0,0,0,0,0,0,0,0,0,35
"402",0,2,0,1,0,1,2,1,1,2,0,1,0,3,1,1,1,17
"207",1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,10
"40",1,1,2,0,1,1,1,1,1,0,0,0,1,0,0,0,0,10
"208",0,0,0,1,1,0,1,0,0,2,1,0,0,1,1,1,1,10
"450",1,1,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,8
"13",1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,6
"60",0,0,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,6
"220",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6
"501",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,4
"16",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
"411",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"445",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
