"macaddress"
""
"bc:41:01:81:3c:9c"
" 20:f4:78:b9:64:22"
" 20:34:fb:5d:38:db"
"94:65:9c:30:4e:5e"
" FAILED"
" b4:c4:fc:92:28:54"
"20:f4:78:b0:1d:25"
" d8:5d:e2:58:79:79"
" 08:25:25:ce:98:4c"
" 20:a6:0c:3a:57:d7"
"08:25:25:b7:06:74"
" 42:e6:23:25:44:a0"
" 40:4d:7f:b5:5b:c4"
" 08:25:25:4b:df:84"
"FAILED"
" bc:41:01:81:3c:9c"
" b4:c4:fc:98:ea:e8"
"20:34:fb:5d:38:db"
"bc:0f:9a:6a:df:f1"
" 08:25:25:b7:06:74"
"08:25:25:ce:98:4c"
"f4:8c:50:45:8c:ce"
" 20:f4:78:b0:1d:25"
"b4:c4:fc:92:28:54"
"d8:5d:e2:58:79:79"
"b4:c4:fc:94:d7:5c"
" 90:78:b2:f5:96:e7"
" 08:25:25:a7:a8:48"
" 90:78:b2:e7:fb:f1"
"90:78:b2:fd:44:8f"
" bc:0f:9a:6a:df:f1"
" 20:34:fb:7c:df:2b"
" c0:f4:e6:c4:85:6d"
"2c:33:61:33:ac:e2"
" 20:34:fb:5d:7a:61"
" 2c:33:61:33:ac:e2"
" 08:25:25:ae:91:10"
" 20:f4:78:bb:a0:b8"
" b4:c4:fc:b6:dd:7e"
" 90:78:b2:f8:c9:85"
"20:34:fb:5d:7a:61"
" 08:25:25:c5:38:ae"
" b4:c4:fc:94:d7:5c"
" c8:3d:dc:f3:68:f8"
" 08:25:25:be:c3:16"
"f6:77:08:e3:4c:7f"
"20:a6:0c:3a:57:d7"
" 20:34:fb:6d:34:41"
"66:84:24:32:a2:d4"
" 04:56:04:86:5f:ea"
